CLNDN	Count
not_provided	18100
Renal_tubular_epithelial_cell_apoptosis|Neutrophil_inclusion_bodies	1
not_specified|Mendelian_susceptibility_to_mycobacterial_diseases_due_to_complete_ISG15_deficiency	1
Mendelian_susceptibility_to_mycobacterial_diseases_due_to_complete_ISG15_deficiency|not_specified	2
Mendelian_susceptibility_to_mycobacterial_diseases_due_to_complete_ISG15_deficiency	2
not_provided|Mendelian_susceptibility_to_mycobacterial_diseases_due_to_complete_ISG15_deficiency|not_specified	1
Congenital_myasthenic_syndrome_8|not_specified	8
not_specified|Congenital_myasthenic_syndrome_8|not_provided	2
not_provided|Congenital_myasthenic_syndrome_8	3
not_provided|not_specified|Congenital_myasthenic_syndrome_8	1
not_specified|Congenital_myasthenic_syndrome_8	1
Congenital_myasthenic_syndrome_8|not_provided	1
Congenital_myasthenic_syndrome_8	1
not_provided|not_specified|Combined_immunodeficiency_due_to_OX40_deficiency	1
Combined_immunodeficiency_due_to_OX40_deficiency	1
not_specified	903
Autosomal_dominant_Robinow_syndrome_2	1
Autosomal_dominant_Robinow_syndrome_2|not_provided	4
not_provided|Neuronopathy,_distal_hereditary_motor,_autosomal_recessive_7	1
Harel-Yoon_syndrome|not_specified|Pontocerebellar_hypoplasia,_hypotonia,_and_respiratory_insufficiency_syndrome,_neonatal_lethal	1
Pontocerebellar_hypoplasia,_hypotonia,_and_respiratory_insufficiency_syndrome,_neonatal_lethal|Harel-Yoon_syndrome	4
Harel-Yoon_syndrome|Pontocerebellar_hypoplasia,_hypotonia,_and_respiratory_insufficiency_syndrome,_neonatal_lethal|not_specified	1
Idiopathic_generalized_epilepsy|not_specified|Epilepsy,_idiopathic_generalized,_susceptibility_to,_10	1
Idiopathic_generalized_epilepsy|not_specified|not_provided|Epilepsy,_idiopathic_generalized,_susceptibility_to,_10	1
not_provided|Idiopathic_generalized_epilepsy|not_specified	1
Idiopathic_generalized_epilepsy|not_specified	1
not_provided|Peroxisome_biogenesis_disorder_6A_(Zellweger)	1
not_provided|PEX10-related_disorder|Peroxisome_biogenesis_disorder,_complementation_group_7|Peroxisome_biogenesis_disorder_6A_(Zellweger)|Zellweger_spectrum_disorders	1
not_provided|Peroxisome_biogenesis_disorder,_complementation_group_7	1
Cataract_49	1
Left_ventricular_noncompaction_8	1
not_specified|Left_ventricular_noncompaction_8|not_provided|PRDM16-related_disorder	1
Left_ventricular_noncompaction_8|not_specified	1
Ciliary_dyskinesia,_primary,_47,_and_lissencephaly	1
TP73-related_disorder	2
not_provided|Joubert_syndrome_25	6
Joubert_syndrome_25|not_provided	5
not_specified|not_provided	473
Nephronophthisis|not_specified|not_provided|Nephronophthisis_4|Senior-Loken_syndrome_4	1
Nephronophthisis_4|not_provided|not_specified	1
Parenti-mignot_neurodevelopmental_syndrome	3
not_provided|Parenti-mignot_neurodevelopmental_syndrome	2
Distal_spinal_muscular_atrophy	1
Neuronopathy,_distal_hereditary_motor,_autosomal_recessive_4|Charcot-Marie-Tooth_disease_recessive_intermediate_C|not_provided	1
Charcot-Marie-Tooth_disease_recessive_intermediate_C|not_specified|Neuronopathy,_distal_hereditary_motor,_autosomal_recessive_4	1
Cerebellar_dysfunction_with_variable_cognitive_and_behavioral_abnormalities	5
not_provided|CAMTA1-related_disorder	1
not_specified|not_provided|Cerebellar_dysfunction_with_variable_cognitive_and_behavioral_abnormalities	1
not_provided|Cerebellar_dysfunction_with_variable_cognitive_and_behavioral_abnormalities	1
PER3-related_disorder	2
Autosomal_recessive_early-onset_Parkinson_disease_7	1
not_provided|Intellectual_developmental_disorder_with_neuropsychiatric_features	2
Intellectual_developmental_disorder_with_neuropsychiatric_features	1
not_provided|Neurodevelopmental_disorder_with_or_without_anomalies_of_the_brain,_eye,_or_heart	1
RERE-related_disorder|not_provided	1
Cortisone_reductase_deficiency_1|not_provided	1
not_provided|Cortisone_reductase_deficiency_1	1
Cortisone_reductase_deficiency_1|not_specified	1
not_provided|not_specified	340
Charcot-Marie-Tooth_disease|not_provided	1
Peroxisome_biogenesis_disorder_13A_(Zellweger)|not_provided	1
not_specified|not_provided|Amyotrophic_lateral_sclerosis_type_10	1
Immunodeficiency_due_to_MASP-2_deficiency|Amyotrophic_Lateral_Sclerosis,_Dominant|Frontotemporal_dementia	1
not_specified|Immunodeficiency_due_to_MASP-2_deficiency|Amyotrophic_Lateral_Sclerosis,_Dominant|Frontotemporal_dementia	1
Immunodeficiency_due_to_MASP-2_deficiency	2
Immunodeficiency_due_to_MASP-2_deficiency|not_specified|not_provided	1
not_provided|Macrocephaly-intellectual_disability-neurodevelopmental_disorder-small_thorax_syndrome	1
not_provided|Macrocephaly-intellectual_disability-neurodevelopmental_disorder-small_thorax_syndrome|not_specified	1
DISP3-related_condition	4
FBXO2-related_condition	2
Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency	1
not_provided|Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency	1
not_specified|Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency	1
not_provided|Homocystinuria_due_to_methylene_tetrahydrofolate_reductase_deficiency|not_specified	1
Neurodegeneration,_childhood-onset,_with_hypotonia,_respiratory_insufficiency,_and_brain_imaging_abnormalities|not_provided	1
Familial_thoracic_aortic_aneurysm_and_aortic_dissection	8
not_specified|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1|Ehlers-Danlos_syndrome	1
not_specified|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1	1
Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1|not_specified	1
Familial_thoracic_aortic_aneurysm_and_aortic_dissection|Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1	1
not_provided|Charcot-Marie-Tooth_disease_type_2|Ehlers-Danlos_syndrome,_kyphoscoliotic_type_1|Hereditary_motor_and_sensory_neuropathy|Hereditary_motor_and_sensory_neuropathy_with_optic_atrophy	1
not_provided|Charcot-Marie-Tooth_disease_type_2|not_specified|Hereditary_motor_and_sensory_neuropathy_with_optic_atrophy	1
Autosomal_recessive_cerebellar_ataxia-saccadic_intrusion_syndrome|not_provided|VPS13D-related_disorder	1
CASP9-related_condition	2
